서울역,43763,112497,74004,237172
시청,8529,75421,11367,210492
종각,6671,114672,11140,285466
종로3가,5610,27245,9700,76204
종로5가,6502,43928,10619,106094
동대문,15728,12835,20970,22752
신설동,22348,25354,33819,60619
제기동,24377,20337,34956,40803
청량리(서울시립대입구),40847,18163,49664,38941
동묘앞,7749,10452,11678,24126
시청,5601,71492,9428,229115
을지로입구,11186,134019,20488,355132
을지로3가,6189,74300,12956,190846
을지로4가,5451,36163,10994,85337
동대문역사문화공원(DDP),7870,25408,14291,52796
신당,31928,17733,52869,34928
상왕십리,44187,13768,72753,35188
왕십리(성동구청),27227,15266,49379,30884
한양대,5992,13730,9069,83759
뚝섬,19596,40726,26890,144373
성수,24933,79002,33732,287267
건대입구,57081,26535,99906,72364
구의(광진구청),73086,16739,125237,41532
강변(동서울터미널),84449,23122,127375,43433
잠실나루,42875,24475,52132,41126
잠실(송파구청),130053,84446,182519,181408
잠실새내,63728,18729,89277,29545
종합운동장,18731,18447,25340,28583
삼성(무역센터),15252,148514,21211,365642
선릉,22886,122275,36064,302906
역삼,16938,159154,28164,398023
강남,41961,161569,68731,316742
교대(법원.검찰청),29251,62786,41353,169163
서초,19903,54221,31016,120990
방배,24623,29081,34861,89603
사당,80836,51583,105808,75783
낙성대(강감찬),90443,23817,136581,46134
서울대입구(관악구청),137266,31285,188720,78776
봉천,90129,13495,129625,25889
신림,203085,29227,294603,46762
신대방,96932,16586,143556,27817
구로디지털단지,151275,83814,201815,246837
대림(구로구청),72203,24304,98591,60516
신도림,152128,44627,157768,121016
문래,47917,38660,53449,138689
영등포구청,42619,39465,51411,129987
당산,49410,32046,63072,87392
합정,46083,34824,59565,104386
홍대입구,67590,40835,88394,115078
신촌,39439,39490,59105,101225
이대,29747,16695,40328,51002
아현,32330,13863,45389,25164
충정로(경기대입구),17604,25251,23984,67502
용답,9464,1921,14708,4581
신답,7000,998,12169,1860
신설동,4989,5547,9659,14829
도림천,3663,4694,3908,5980
양천구청,37674,5138,33621,10583
신정네거리,55358,5205,49867,12323
용두(동대문구청),5483,2637,10068,6155
지축,30535,6219,29195,9207
구파발,95734,24536,86664,32204
연신내,133964,25289,152561,37554
불광,56678,12075,67012,34457
녹번,80056,7830,84471,18941
홍제,72949,11894,76359,28040
무악재,19290,3050,21411,6255
독립문,16811,16598,19690,21130
경복궁(정부서울청사),15350,47097,21559,140731
안국,6637,96759,10763,127260
종로3가,1685,16696,3098,48566
을지로3가,2775,36425,5758,88121
충무로,1,0,0,0
동대입구,6364,17231,8649,65474
약수,28860,18113,41131,34804
금호,29563,4284,40254,8811
옥수,26139,9377,33556,14710
압구정,17415,51215,27669,160173
신사,12437,46696,18771,107473
잠원,13647,6939,19172,9674
고속터미널,28216,50783,48451,76495
교대(법원.검찰청),10082,22743,14732,53446
남부터미널(예술의전당),33403,67126,48035,166573
양재(서초구청),38053,114569,48946,253997
매봉,19338,24629,23638,78573
도곡,10421,15798,13041,21600
대치,30466,20606,30802,28262
학여울,4940,3738,5614,9962
대청,32593,20933,37830,29700
일원,27672,36745,26353,26759
수서,38146,39804,49843,58389
가락시장,22601,13237,23757,30629
경찰병원,25304,8896,28721,30466
오금,30574,6962,32817,14534
당고개,44327,5533,39687,11131
상계,94543,20890,81098,22030
